Brand,Model,Accelsec,TopSpeed_KmH,Range_Km,Battery_Pack Kwh,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,Plug Type,Body Style,Segment,Seats,Price Euro,INR
Tesla,Model S Long Range,3.8,250,515,90,184,560,Yes,AWD,Type 2,Liftback,F,5,79990,6547109.509
Hyundai,Kona Electric 39 kWh,9.9,155,255,39,154,210,Yes,FWD,Type 2 CCS,SUV,B,5,33971,2780495.776
Audi,e-tron Sportback 55 quattro,5.7,200,380,86.5,228,610,Yes,AWD,Type 2 CCS,SUV,E,5,81639,6682078.675
Skoda,CITIGOe iV,12.3,130,195,36.8,166,170,Yes,FWD,Type 2 CCS,Hatchback,A,4,24534,2008085.819
SEAT,Mii Electric,12.3,130,195,32.3,166,170,Yes,FWD,Type 2 CCS,Hatchback,A,4,20129,1647540.534
Kia,E -Soul 64 kWh,7.9,167,365,64,175,340,Yes,FWD,Type 2 CCS,SUV,B,5,36837,3015075.297
Opel,Ampera-e,7.3,150,335,58,173,210,Yes,FWD,Type 2 CCS,MPV,B,5,41906,3429968.385
Porsche,Taycan 4S,4,250,365,71,195,730,Yes,AWD,Type 2 CCS,Sedan,F,4,102945,8425955.6
Lightyear,One,10,150,575,60,104,540,Yes,AWD,Type 2 CCS,Liftback,F,5,149000,12195515.9
Aiways,U5,9,150,335,63,188,350,Yes,FWD,Type 2 CCS,SUV,C,5,36057,2951232.999
Audi,e-tron 55 quattro,5.7,200,365,86.5,237,590,Yes,AWD,Type 2 CCS,SUV,E,5,79445,6502501.75
Tesla,Roadster,2.1,410,970,200,206,920,Yes,AWD,Type 2 CCS,Cabrio,S,4,215000,17597556.5
Opel,Mokka-e,8.5,150,255,45,176,390,Yes,FWD,Type 2 CCS,SUV,B,5,35000,2864718.5
Skoda,Enyaq iV 80,8.8,160,420,77,183,560,Yes,RWD,Type 2 CCS,SUV,C,5,40000,3273964
Tesla,Model X Long Range,4.6,250,450,90,211,490,Yes,AWD,Type 2,SUV,F,7,85990,7038204.109
Honda,e Advance,8.3,145,170,28.5,168,190,Yes,RWD,Type 2 CCS,Hatchback,B,4,35921,2940101.521
DS,3 Crossback E-Tense,8.7,150,250,45,180,380,Yes,FWD,Type 2 CCS,SUV,B,5,37422,3062957.02
Renault,Twingo ZE,12.6,135,130,21.3,164,0,No,RWD,Type 2,Hatchback,A,4,24790,2029039.189
Citroen,e-C4,9.7,150,250,45,180,380,Yes,FWD,Type 2 CCS,SUV,C,5,40000,3273964
Tesla,Model S Performance,2.5,261,505,90,188,550,Yes,AWD,Type 2,Liftback,F,5,96990,7938544.209
Renault,Zoe ZE40 R110,11.4,135,255,41,161,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,29234,2392776.589
Tesla,Model Y Long Range Performance,3.7,241,410,72.5,177,900,Yes,AWD,Type 2 CCS,SUV,D,7,65620,5370937.942
Nissan,Ariya 87kWh,7.6,160,440,87,198,520,Yes,FWD,Type 2 CCS,Hatchback,C,5,50000,4092455
Jaguar,I-Pace,4.8,200,365,84.7,232,340,Yes,AWD,Type 2 CCS,SUV,E,5,75351,6167411.534
Ford,Mustang Mach-E ER RWD,7,180,450,88,200,430,Yes,RWD,Type 2 CCS,SUV,D,5,54475,4458729.723
Porsche,Taycan 4S Plus,4,250,425,83.7,197,890,Yes,AWD,Type 2 CCS,Sedan,F,4,109302,8946270.328
Nissan,e-NV200 Evalia,14,123,190,38,200,190,Yes,FWD,Type 1 CHAdeMO,SPV,N,7,33246,2721155.179
Tesla,Cybertruck Dual Motor,5,190,460,120,261,710,Yes,AWD,Type 2 CCS,Pickup,N,6,55000,4501700.5
Renault,Kangoo Maxi ZE 33,22.4,130,160,31,194,0,No,FWD,Type 2,SPV,N,5,38000,3110265.8
Ford,Mustang Mach-E ER AWD,6,180,430,88,209,410,Yes,AWD,Type 2 CCS,SUV,D,5,62900,5148308.39
BMW,i3s 120 Ah,6.9,160,230,37.9,165,260,Yes,RWD,Type 2 CCS,Hatchback,B,4,41526,3398865.727
Skoda,Enyaq iV 80X,7,160,400,77,193,540,Yes,AWD,Type 2 CCS,SUV,C,5,45000,3683209.5
Porsche,Taycan Cross Turismo,3.5,250,385,83.7,217,770,Yes,AWD,Type 2 CCS,Station,F,4,150000,12277365
Byton,M-Byte 95 kWh 4WD,5.5,190,390,95,244,460,Yes,AWD,Type 2 CCS,SUV,E,5,64000,5238342.4
Sono,Sion,9,140,225,35,156,270,Yes,FWD,Type 2 CCS,Hatchback,C,5,25500,2087152.05
Kia,e-Niro 39 kWh,9.8,155,235,39,167,230,Yes,FWD,Type 2 CCS,SUV,C,5,34400,2815609.04
Audi,Q4 Sportback e-tron,6.3,180,410,77,188,550,Yes,AWD,Type 2 CCS,SUV,D,5,57500,4706323.25
Smart,EQ forfour,12.7,130,95,16.7,176,0,No,RWD,Type 2,Hatchback,A,4,22030,1803135.673
Ford,Mustang Mach-E SR AWD,6,180,340,88,206,360,Yes,AWD,Type 2 CCS,SUV,D,5,54000,4419851.4
Porsche,Taycan Turbo,3.2,260,390,83.7,215,810,Yes,AWD,Type 2 CCS,Sedan,F,4,148301,12138303.38
Volkswagen,ID.3 1st,7.3,160,340,58,171,470,Yes,RWD,Type 2 CCS,Hatchback,C,5,38987,3191050.862
Tesla,Model X Performance,2.8,250,440,90,216,480,Yes,AWD,Type 2,SUV,F,7,102990,8429638.809
Smart,EQ fortwo coupe,11.6,130,100,16.7,167,0,No,RWD,Type 2,Hatchback,A,2,21387,1750506.702
Ford,Mustang Mach-E SR RWD,6.6,180,360,88,194,380,Yes,RWD,Type 2 CCS,SUV,D,5,46900,3838722.79
Mercedes,EQV 300 Long,10,140,330,90,273,290,Yes,FWD,Type 2 CCS,SPV,N,7,70631,5781083.782
Fiat,500e Hatchback,9,150,250,37.3,168,330,Yes,FWD,Type 2 CCS,Hatchback,B,4,34900,2856533.59
Tesla,Cybertruck Single Motor,7,180,390,100,256,740,Yes,RWD,Type 2 CCS,Pickup,N,6,45000,3683209.5
Audi,e- tron Sportback 50 quattro,6.8,190,295,64.7,219,470,Yes,AWD,Type 2 CCS,SUV,E,5,69551,5692686.754
Skoda,Enyaq iV vRS,6.2,180,400,77,193,540,Yes,AWD,Type 2 CCS,SUV,C,5,47500,3887832.25
Skoda,Enyaq iV 60,9,160,320,58,181,440,Yes,RWD,Type 2 CCS,SUV,C,5,37500,3069341.25
Audi,e-tron S 55 quattro,4.5,210,320,86.5,270,510,Yes,AWD,Type 2 CCS,SUV,E,5,93800,7677445.58
Smart,EQ fortwo cabrio,11.9,130,95,16.7,176,0,No,RWD,Type 2,Cabrio,A,2,24565,2010623.142
Nissan,Ariya e-4ORCE 87kWh,5.7,200,420,87,207,500,Yes,AWD,Type 2 CCS,Hatchback,C,5,57500,4706323.25
Fiat,500e Convertible,9,150,250,23.8,168,330,Yes,FWD,Type 2 CCS,Cabrio,B,4,37900,3102080.89
Volkswagen,ID.3 Pro Performance,7.3,160,340,58,171,470,Yes,RWD,Type 2 CCS,Hatchback,C,5,35575,2911781.733
Kia,e-Soul 39 kWh,9.9,157,230,39,170,220,Yes,FWD,Type 2 CCS,SUV,B,5,33133,2711906.23
Byton,M-Byte 72 kWh 2WD,7.5,190,325,72,222,420,Yes,RWD,Type 2 CCS,SUV,E,5,53500,4378926.85
Nissan,Ariya 63kWh,7.5,160,330,63,191,440,Yes,FWD,Type 2 CCS,Hatchback,C,5,45000,3683209.5
Audi,e-tron S Sportback 55 quattro,4.5,210,335,86.5,258,540,Yes,AWD,Type 2 CCS,SUV,E,5,96050,7861606.055
Nissan,Ariya e-4ORCE 63kWh,5.9,200,325,63,194,440,Yes,AWD,Type 2 CCS,Hatchback,C,5,50000,4092455
Nissan,Ariya e-4ORCE 87kWh Performance,5.1,200,375,87,232,450,Yes,AWD,Type 2 CCS,Hatchback,C,5,65000,5320191.5
Byton,M-Byte 95 kWh 2WD,7.5,190,400,95,238,480,Yes,AWD,Type 2 CCS,SUV,E,5,62000,5074644.2
